Debit,DATE,Description,Credit,Amount,,,,,
CACI,6/5/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,6/5/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,6/5/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,6/5/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,6/5/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,6/5/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
AMEX Blue Cash,6/6/2020,WEIS MArkets,Groceries,$2.12 ,,,,,
Citi Double Cash Back,6/7/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$19.61 ,,,,,
Citi Double Cash Back,6/7/2020,LOWES #02244* ELKRIDGE MD,Volleyball,$19.02 ,,,,,
Capital One Savor,6/8/2020,Chipotle,Delivery/ Carry-Out,$16.96 ,,,,,
Amazon Store Card,6/9/2020,AMAZON  DUBERY Mens Sport Polarized ,Volleyball,$21.19 ,,,,,
Citi Double Cash Back,6/9/2020,CVS/PHARMACY #01909 ELKRIDGE,Pharmacy,$36.71 ,,,,,
Citi Double Cash Back,6/9/2020,THE UPS STORE #6741 COLUMBIA MD,Doctor Visit,$10.73 ,,,,,
Capital One Savor,6/9/2020,Dumser's Dairyland,Delivery/ Carry-Out,$9.87 ,,,,,
Citi Double Cash Back,6/10/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Capital One Checking,6/10/2020,Royal Farms,Gas,$19.48 ,,,,,
AMEX Blue Cash,6/11/2020,WEIS MArkets,Groceries,$63.84 ,,,,,
Citi Double Cash Back,6/12/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Citi Double Cash Back,6/14/2020,ADIDAS US ONLINE STORE 800-9829337 OR,Clothing,$53.00 ,,,,,
Amazon Store Card,6/15/2020,AMAZON RETAIL AmazonBasics USB 3.0 ,Electronics,$12.18 ,,,,,
Amazon Store Card,6/16/2020,AMAZON RETAIL AmazonBasics High-Speed Male ,Electronics,$7.95 ,,,,,
Amazon Store Card,6/16/2020,AMAZON RETAIL Tourna Pickleball Deluxe Caddy,Gifts,$31.33 ,,,,,
Citi Double Cash Back,6/16/2020,Spotify USA New York NY,Spotify,$9.99 ,,,,,
Capital One Savor,6/16/2020,PASTA BLITZ,Delivery/ Carry-Out,$29.62 ,,,,,
Capital One Checking,6/16/2020,Royal Farms,Gas,$5.25 ,,,,,
Capital One Checking,6/16/2020,Royal Farms,Gas,$8.90 ,,,,,
Capital One Checking,6/16/2020,Verizon,Verizon,$60.71 ,,,,,
AMEX Blue Cash,6/17/2020,ALDI,Groceries,$151.15 ,,,,,
Venmo,6/17/2020,Piad Stephanie for ball,Volleyball,$50.00 ,,,,,
Concerts/clubs,6/18/2020,Tickermaster - refund,Capital One Savor,$287.00 ,,,,,
Capital One Savor,6/18/2020,Chick-fil-A,Delivery/ Carry-Out,$25.20 ,,,,,
Capital One Savor,6/19/2020,Nooodles & Company,Delivery/ Carry-Out,$17.49 ,,,,,
Capital One Checking,6/19/2020,Transfer,SquareCash,$120.00 ,,,,,
Capital One Checking,6/19/2020,Transfer,SquareCash,$198.00 ,,,,,
SquareCash,6/19/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
SquareCash,6/19/2020,Paid Lior for Car,Car Payments,$198.00 ,,,,,
SquareCash,6/19/2020,Paid Lior for phone,Phone Bill,$33.00 ,,,,,
Citi Double Cash Back,6/19/2020,E-ZPASS MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
Citi Double Cash Back,6/19/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Amazon Store Card,6/20/2020,AMAZON MARKETPLACE,Gifts,$30.31 ,,,,,
Citi Double Cash Back,6/22/2020,QUIP NYC INC,Pharmacy,$5.00 ,,,,,
Citi Double Cash Back,6/22/2020,QUIP NYC INC,Pharmacy,$10.00 ,,,,,
CACI,6/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,6/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,6/22/2020,PAYCHECK,Capital One Savings,$529.33 ,,,,,
CACI,6/22/2020,PAYCHECK,Capital One Savings,"$1,234.26 ",,,,,
CACI,6/22/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,6/22/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,6/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,6/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,6/22/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,6/22/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,6/22/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,6/22/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,6/22/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Tower FCU Checking,6/22/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
Capital One Checking,6/23/2020,PAYMENT - Thank You,Amazon Store Card,$218.37 ,,,,,
Amazon Store Card,6/23/2020,AMZN CON PRIME NOW,Groceries,$38.44 ,,,,,
AMEX Blue Cash,6/23/2020,ALDI,Groceries,$11.75 ,,,,,
Capital One Checking,6/23/2020,PAYMENT - Thank You,Amex Blue Cash,$309.62 ,,,,,
Capital One Checking,6/23/2020,PAYMENT - Thank You,Citi Double Cash Back,$273.68 ,,,,,
Capital One Checking,6/23/2020,Royal Farms,Gas,$23.44 ,,,,,
TD Bank,6/24/2020,Transfer,Tower FCU Checking,"$1,022.14 ",,,,,
Citi Double Cash Back,6/24/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Amazon Store Card,6/25/2020,AMZN CON PRIME NOW,Groceries,$5.00 ,,,,,
Citi Double Cash Back,6/25/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Citi Double Cash Back,6/25/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Citi Double Cash Back,6/27/2020,E-ZPASS MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
Citi Double Cash Back,6/28/2020,CONOCO - Cedarhurst,Gas,$26.31 ,,,,,
Venmo,6/28/2020,ECV (Ayal & Syd),Volleyball,$70.00 ,,,,,
Volleyball,6/28/2020,Stephanie bought vball long sleeve,Venmo,$15.00 ,,,,,
Amazon Store Card,6/29/2020,AMAZON MARKETPLACE,Grooming,$8.26 ,,,,,
Citi Double Cash Back,6/29/2020,E-ZPASS MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
Capital One Savor,6/29/2020,WAWA,Volleyball,$9.41 ,,,,,
Capital One Savor,6/29/2020,Dunkin Donuts,Volleyball,$7.38 ,,,,,
Tower FCU Checking,6/30/2020,Payment to 407841-10L,Tower Fcu Car Loan,"$1,022.14 ",,,,,
Capital One Savor,6/30/2020,KFC,Delivery/ Carry-Out,$16.72 ,,,,,
Capital One Checking,6/30/2020,Royal Farms,Gas,$10.06 ,,,,,
Capital One Checking,6/30/2020,Royal Farms,Gas,$22.42 ,,,,,
Checking Interest,6/30/2020,Monthly Interest Paid,Capital One Checking,$0.64 ,,,,,
Savings Interest,6/30/2020,Monthly Interest Paid,Capital One Savings,$19.70 ,,,,,
Checking Interest,6/30/2020,DIVIDEND / Dividend,Tower FCU Checking,$0.02 ,,,,,
Checking Interest,6/30/2020,DIVIDEND / Dividend,Tower FCU Checking,$0.04 ,,,,,
AMEX Blue Cash,7/1/2020,WEIS Markets,Groceries,$55.20 ,,,,,
Citi Double Cash Back,7/1/2020,E-ZPASS MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
TD Bank,7/1/2020,TD ZeLLE SENT,Discover Student Loan,$370.00 ,,,,,
Capital One Savor,7/1/2020,Nalley Fresh,Delivery/ Carry-Out,$10.34 ,,,,,
BofA Cash Card,7/2/2020,VRBO RDD,Activities,$750.00 ,,,,,
BofA Cash Card,7/2/2020,VRBO HA6WPDTR,Activities,"$5,527.31 ",,,,,
BofA Cash Card,7/2/2020,CSA-GGA-Damage,Activities,$339.92 ,,,,,
Capital One Checking,7/2/2020,GREYSTAR-MDSHEC-,Apartment,"$1,586.13 ",,,,,
AMEX Blue Cash,7/3/2020,WEIS Markets,Groceries,$27.08 ,,,,,
Citi Double Cash Back,7/3/2020,MICHAELS STORES 2787 COLUMBIA MD,Crafts,$13.88 ,,,,,
Citi Double Cash Back,7/3/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$20.69 ,,,,,
Wedding,7/3/2020,PTISKY Arenal,Capital One Savor,$174.72 ,,,,,
Capital One Checking,7/3/2020,ATM Withdrawal,Wedding,$60.00 ,,,,,
Capital One Savor,7/4/2020,Great Wall Restaurant,Delivery/ Carry-Out,$45.00 ,,,,,
Citi Double Cash Back,7/5/2020,DUNKIN' AUTO RELOAD,Coffee Shops,$50.00 ,,,,,
Venmo,7/5/2020,ECV (Ayal & Jared),Volleyball,$100.00 ,,,,,
Venmo,7/5/2020,ECV (Syd and Ob),Volleyball,$70.00 ,,,,,
Volleyball,7/5/2020,Josh paid us for getting 3rd,Venmo,$250.00 ,,,,,
Venmo,7/5/2020,Paid jared his cut of the winnings,Volleyball,$75.00 ,,,,,
Venmo,7/5/2020,Paid Nader for ECV,Volleyball,$50.00 ,,,,,
Amazon Store Card,7/6/2020,AMAZON MARKETPLACE,Electronics,$54.86 ,,,,,
Capital One Savor,7/6/2020,Chipotle,Delivery/ Carry-Out,$28.57 ,,,,,
Capital One Checking,7/6/2020,BALTIMOREGAS RES,Apartment,$108.78 ,,,,,
CACI,7/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,7/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,7/7/2020,PAYCHECK,Capital One Savings,$529.31 ,,,,,
CACI,7/7/2020,PAYCHECK,Capital One Savings,"$1,234.25 ",,,,,
CACI,7/7/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,7/7/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,7/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,7/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,7/7/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI,7/7/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,7/7/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,7/7/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,7/7/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
AMEX Blue Cash,7/8/2020,Aldi,Groceries,$125.64 ,,,,,
Citi Double Cash Back,7/8/2020,Kings Contrivance,Wedding,$296.80 ,,,,,
Capital One Savor,7/9/2020,Pasta BLITZ,Delivery/ Carry-Out,$30.69 ,,,,,
Capital One Checking,7/9/2020,Royal Farms,Gas,$21.97 ,,,,,
Amazon Store Card,7/11/2020,AMAZON MARKETPLACE,Wedding,$34.97 ,,,,,
Capital One Checking,7/14/2020,PAYMENT - Thank You,Amazon Store Card,$136.87 ,,,,,
Capital One Checking,7/14/2020,PAYMENT - Thank You,AMEX Blue Cash,$370.82 ,,,,,
Capital One Checking,7/14/2020,PAYMENT - Thank You,BofA Cash Card,"$6,617.23 ",,,,,
Capital One Checking,7/14/2020,PAYMENT - Thank You,Citi Double Cash Back,$525.68 ,,,,,
Citi Double Cash Back,7/14/2020,Target Columbia MD,Gifts,$98.09 ,,,,,
Citi Double Cash Back,7/14/2020,TWIST SALON AND BARBER,Grooming,$70.00 ,,,,,
Capital One Checking,7/14/2020,Verizon,Verizon,$60.71 ,,,,,
TD Bank,7/15/2020,Transfer,Tower FCU Checking,"$1,022.14 ",,,,,
Citi Double Cash Back,7/15/2020,Spotify USA New York NY,Spotify,$12.99 ,,,,,
Capital One Checking,7/15/2020,Transfer,TD Bank,$114.00 ,,,,,
Capital One Savor,7/15/2020,Nooodles & Company,Delivery/ Carry-Out,$20.94 ,,,,,
Capital One Savor,7/15/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$26.14 ,,,,,
CACI Contr.,7/16/2020,PAYCHECK,HSA,$300.00 ,,,,,
AMEX Blue Cash,7/16/2020,WEIS Markets,Groceries,$39.72 ,,,,,
Gifts,7/16/2020,Ken paid me back for John & Hayley's gifts,SquareCash,$33.00 ,,,,,
Amazon Store Card,7/17/2020,AMAZON MARKETPLACE,Pharmacy,$54.21 ,,,,,
Tower FCU Checking,7/20/2020,Payment to 407841-10L,Tower FCU Car Loan,"$1,022.14 ",,,,,
Capital One Savor,7/20/2020,Dominoes Pizza,Delivery/ Carry-Out,$17.82 ,,,,,
Capital One Savor,7/20/2020,VIVI BUBBLE TEA,Delivery/ Carry-Out,$9.81 ,,,,,
Amazon Store Card,7/21/2020,AMAZON MARKETPLACE,Crafts,$12.18 ,,,,,
Tower FCU Checking,7/21/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
CACI,7/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,7/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,7/22/2020,PAYCHECK,Capital One Savings,$582.34 ,,,,,
CACI,7/22/2020,PAYCHECK,Capital One Savings,"$1,235.37 ",,,,,
CACI,7/22/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,7/22/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,7/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,7/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,7/22/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,7/22/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,7/22/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,7/22/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Amazon Store Card,7/23/2020,AMAZON MARKETPLACE,Electronics,$26.92 ,,,,,
AMEX Blue Cash,7/23/2020,WEIS Markets,Groceries,$24.57 ,,,,,
Amazon Store Card,7/24/2020,AMAZON MARKETPLACE,Clothing,$31.79 ,,,,,
Amazon Store Card,7/24/2020,AMAZON MARKETPLACE,Clothing,$95.39 ,,,,,
AMEX Blue Cash,7/25/2020,ALDI,Groceries,$156.11 ,,,,,
Crafts,7/25/2020,Statement Credit for Drawlify,Citi Double Cash Back,$49.90 ,,,,,
Citi Double Cash Back,7/25/2020,APPLE.COM/BILL,Electronics,$5.99 ,,,,,
Amazon Store Card,7/27/2020,AMAZON MARKETPLACE,Clothing,$42.39 ,,,,,
Amazon Store Card,7/27/2020,AMAZON MARKETPLACE,Pharmacy,$6.72 ,,,,,
Capital One Checking,7/27/2020,Royal Farms,Gas,$10.89 ,,,,,
Citi Double Cash Back,7/29/2020,PAYPAL *STAMPMARKET,Gifts,$20.66 ,,,,,
Various Income,7/29/2020,Federal Tax Return IRS TREAS 310,Capital One Checking,$386.72 ,,,,,
Capital One Checking,7/30/2020,Royal Farms,Gas,$23.91 ,,,,,
Amazon Store Card,7/31/2020,AMAZON MARKETPLACE,Clothing,$16.96 ,,,,,
AMEX Blue Cash,7/31/2020,ALDI,Groceries,$86.85 ,,,,,
Checking Interest,7/31/2020,DIVIDEND / Dividend,Tower FCU Checking,$0.03 ,,,,,
Checking Interest,7/31/2020,Monthly Interest Paid,Capital One Checking,$0.42 ,,,,,
Savings Interest,7/31/2020,Monthly Interest Paid,Capital One Savings,$21.84 ,,,,,
SquareCash,7/31/2020,"Late payment made 8/14, Syds insurance",Syds Insurance,$120.00 ,,,,,
SquareCash,7/31/2020,"Late payment made 8/14, Phone Bill",Phone Bill,$33.00 ,,,,,
SquareCash,7/31/2020,"Late payment made 8/14, Car Payments",Car Payments,$198.00 ,,,,,
Capital One Savor,8/1/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$39.22 ,,,,,
Citi Double Cash Back,8/2/2020,APPLE.COM/BILL,Electronics,$2.99 ,,,,,
TD Bank,8/3/2020,Discover Student Loan (Edo),Discover Student Loan,$370.00 ,,,,,
Capital One Checking,8/3/2020,BALTIMOREGAS RES,Apartment,$132.75 ,,,,,
Capital One Checking,8/3/2020,GREYSTAR-MDSHEC-,Apartment,"$1,585.77 ",,,,,
Capital One Checking,8/4/2020,Royal Farms,Gas,$47.43 ,,,,,
Citi Double Cash Back,8/5/2020,IN *ATEIRA'S ON FIRST,Wedding,$408.70 ,,,,,
Citi Double Cash Back,8/6/2020,STATE HIGHWAY ADMIN,Tickets/Fines,$82.00 ,,,,,
Citi Double Cash Back,8/7/2020,SPEEDWAY,Gas,$52.56 ,,,,,
Capital One Savor,8/7/2020,Long Pour,Delivery/ Carry-Out,$9.01 ,,,,,
Capital One Savor,8/7/2020,Sumo Sushi and Japanese Fusion,Delivery/ Carry-Out,$100.00 ,,,,,
CACI,8/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,8/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,8/7/2020,PAYCHECK,Capital One Savings,$582.33 ,,,,,
CACI,8/7/2020,PAYCHECK,Capital One Savings,"$1,235.38 ",,,,,
CACI,8/7/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,8/7/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,8/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,8/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,8/7/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,8/7/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,8/7/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,8/7/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
BofA Cash Card,8/8/2020,ALLENTOWN PARK HOTELPA ALLENTOWN PA,Volleyball,$247.50 ,,,,,
Citi Double Cash Back,8/8/2020,WAWA 266 ALLENTOWN PA,Volleyball,$17.17 ,,,,,
Capital One Savor,8/8/2020,Radical Wine Company,Alcohol/Bars,$23.00 ,,,,,
Capital One Savor,8/8/2020,Radical Wine Company,Alcohol/Bars,$20.00 ,,,,,
Capital One Savor,8/8/2020,Radical Wine Company,Alcohol/Bars,$14.95 ,,,,,
Capital One Savor,8/8/2020,Cactus Blue,Delivery/ Carry-Out,$13.00 ,,,,,
Capital One Savor,8/8/2020,Cactus Blue,Delivery/ Carry-Out,$7.00 ,,,,,
Capital One Savor,8/8/2020,SHANKWEILERS DRIVE-IN,Activities,$20.00 ,,,,,
Capital One Savor,8/8/2020,SHANKWEILERS DRIVE-IN,Snacks,$7.37 ,,,,,
Citi Double Cash Back,8/9/2020,WAWA 266 ALLENTOWN PA,Volleyball,$24.84 ,,,,,
Venmo,8/9/2020,Paid Ob for quads,Volleyball,$69.99 ,,,,,
Capital One Savor,8/10/2020,Sunset Grille,Dining Out,$60.00 ,,,,,
Capital One Savor,8/10/2020,McDonald's,Delivery/ Carry-Out,$11.33 ,,,,,
Citi Double Cash Back,8/11/2020,PARKING PROGRAM DOVER DE,Volleyball,$8.00 ,,,,,
Citi Double Cash Back,8/11/2020,WAWA 547 ELKTON,Volleyball,$19.48 ,,,,,
Citi Double Cash Back,8/12/2020,THE TIRE RACK ,Maintenance,$664.64 ,,,,,
Citi Double Cash Back,8/12/2020,E-ZPASS MD REBILL,Tolls/EZ-Pass,$25.00 ,,,,,
Activities,8/12/2020,Ward paid me back for his share,SquareCash,$972.25 ,,,,,
Activities,8/12/2020,Ward paid me back for Justin's Share,SquareCash,"$1,365.37 ",,,,,
Capital One Checking,8/13/2020,PAYMENT - Thank You,AMEX Blue Cash,$307.25 ,,,,,
AMEX Blue Cash,8/13/2020,WEIS Markets,Groceries,$90.00 ,,,,,
Citi Double Cash Back,8/13/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$14.16 ,,,,,
Capital One Checking,8/14/2020,Verizon,Verizon,$60.71 ,,,,,
SquareCash,8/14/2020,Transfer,Capital One Checking,"$2,426.37 ",,,,,
Capital One Checking,8/14/2020,Transfer,SquareCash,$120.00 ,,,,,
Capital One Checking,8/14/2020,Transfer,SquareCash,$120.00 ,,,,,
Capital One Checking,8/14/2020,Transfer,SquareCash,$462.00 ,,,,,
SquareCash,8/14/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
SquareCash,8/14/2020,Paid Lior for phone,Phone Bill,$33.00 ,,,,,
SquareCash,8/14/2020,Paid Lior for Car,Car Payments,$198.00 ,,,,,
Citi Double Cash Back,8/15/2020,Spotify USA New York NY,Spotify,$12.99 ,,,,,
Venmo,8/15/2020,Paid Matt Hunt for Volleyball,Volleyball,$70.00 ,,,,,
Citi Double Cash Back,8/16/2020,TURKEY HILL #0091 LEMOYNE PA,Volleyball,$8.83 ,,,,,
Citi Double Cash Back,8/16/2020,BP#2091734AVADIS LOQPS LODI NJ,Gas,$16.37 ,,,,,
Citi Double Cash Back,8/16/2020,E-ZPASS MD REBILL 8883216824 MD,Tolls/EZ-Pass,$25.00 ,,,,,
Citi Double Cash Back,8/16/2020,SHEETZ 580 00005801 HARRISBURG PA,Volleyball,$34.25 ,,,,,
Citi Double Cash Back,8/16/2020,DUNKIN' AUTO RELOAD 8004470013 MA,Coffee Shops,$50.00 ,,,,,
AMEX Blue Cash,8/17/2020,Interest charge,Personal,$2.51 ,,,,,
AMEX Blue Cash,8/17/2020,WEIS Markets,Groceries,$26.00 ,,,,,
AMEX Blue Cash,8/17/2020,ALDI,Groceries,$132.94 ,,,,,
Capital one Checking,8/17/2020,Royal Farms,Gas,$24.04 ,,,,,
Capital one Checking,8/17/2020,Transfer,Venmo,$70.00 ,,,,,
Activities,8/17/2020,Mom and Dad paid me back,Capital One Checking,$928.00 ,,,,,
Capital One Checking,8/18/2020,PAYMENT - Thank You,Amazon Store Card,$321.53 ,,,,,
Capital One Checking,8/18/2020,PAYMENT - Thank You,BofA Cash Card,$247.50 ,,,,,
Citi Double Cash Back,8/18/2020,DAKIS PERFORMANCE SERV COLUMBIA MD,Maintenance,$308.50 ,,,,,
Capital One Checking,8/18/2020,PAYMENT - Thank You,Capital One Savor,$185.12 ,,,,,
Capital One Checking,8/18/2020,PAYMENT - Thank You,Citi Double Cash Back,"$1,463.21 ",,,,,
Venmo,8/18/2020,Transfer,Capital One Checking,$442.05 ,,,,,
Capital One Checking,8/18/2020,Royal Farms,Gas,$23.64 ,,,,,
TD Bank,8/19/2020,Transfer,Tower FCU Checking,"$1,022.14 ",,,,,
Citi Double Cash Back,8/19/2020,BAY MIST AUTO WASH INC LAUREL MD,Maintenance,$4.50 ,,,,,
Citi Double Cash Back,8/19/2020,BAY MIST AUTO WASH INC LAUREL MD,Maintenance,$14.00 ,,,,,
Citi Double Cash Back,8/19/2020,BAY MIST AUTO WASH INC LAUREL MD,Maintenance,$14.00 ,,,,,
Tower FCU Checking,8/20/2020,Payment to 407841-10L,Tower FCU Car Loan,"$1,022.14 ",,,,,
Clothing,8/20/2020,AMAZON MARKETPLACE - refund,Amazon Store Card,$42.39 ,,,,,
Clothing,8/20/2020,AMAZON MARKETPLACE - refund,Amazon Store Card,$58.30 ,,,,,
Capital One Savor,8/20/2020,Maiwand Kabob,Delivery/ Carry-Out,$40.00 ,,,,,
Citi Double Cash Back,8/21/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
CACI,8/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,8/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,8/21/2020,PAYCHECK,401k - Syd,$375.60 ,,,,,
CACI Contr.,8/21/2020,PAYCHECK,401k - Syd,$187.80 ,,,,,
CACI,8/21/2020,PAYCHECK,Capital One Savings,$612.27 ,,,,,
CACI,8/21/2020,PAYCHECK,Capital One Savings,"$1,272.60 ",,,,,
CACI,8/21/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,8/21/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,8/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,8/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,8/21/2020,PAYCHECK,401k,$298.06 ,,,,,
CACI Contr.,8/21/2020,PAYCHECK,401k,$149.03 ,,,,,
Tower FCU Checking,8/21/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
Amazon Store Card,8/22/2020,AMAZON MARKETPLACE,Maintenance,$17.93 ,,,,,
Citi Double Cash Back,8/23/2020,IN *ROUND HILL CAFÉ AN PURCELLVILLE,Coffee Shops,$10.31 ,,,,,
Citi Double Cash Back,8/23/2020,DUNKIN' AUTO RELOAD,Coffee Shops,$50.00 ,,,,,
Activities,8/24/2020,Deposit Refund,BofA Cash Card,$750.00 ,,,,,
Capital One Savor,8/24/2020,McDonald's,Delivery/ Carry-Out,$21.90 ,,,,,
Citi Double Cash Back,8/24/2020,Royal Farms,Gas,$12.46 ,,,,,
Capital One Checking,8/24/2020,Royal Farms,Gas,$41.70 ,,,,,
Capital One Savor,8/25/2020,Pho Dat Thanh,Delivery/ Carry-Out,$47.00 ,,,,,
Citi Double Cash Back,8/25/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Citi Double Cash Back,8/25/2020,MINUTEKEY ELKRIDGE MD,Apartment Stuff,$10.60 ,,,,,
Citi Double Cash Back,8/25/2020,STEAMGAMES.COM,Electronics,$19.99 ,,,,,
Citi Double Cash Back,8/25/2020,STEAMGAMES.COM,Electronics,$19.99 ,,,,,
Activities,8/25/2020,Edo paid me back for Log Cabin,Capital One Checking,"$1,064.69 ",,,,,
BofA Cash Card,8/26/2020,AIRBNB HM5BK93FSW,Volleyball,$122.18 ,,,,,
Citi Double Cash Back,8/26/2020,DAKIS PERFORMANCE SERV COLUMBIA MD,Maintenance,$47.47 ,,,,,
Citi Double Cash Back,8/26/2020,PABC MULTI SPACE 3,Parking,$2.24 ,,,,,
Citi Double Cash Back,8/26/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Capital One Checking,8/26/2020,Royal Farms,Gas,$18.49 ,,,,,
Citi Double Cash Back,8/27/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Snacks,$0.75 ,,,,,
Citi Double Cash Back,8/28/2020,DEFENDER RAZOR,Grooming,$7.95 ,,,,,
AMEX Blue Cash,8/29/2020,Aldi,Groceries,$65.67 ,,,,,
Volleyball,8/29/2020,AIRBNB HM5BK93FSW,BofA Cash Card,$20.49 ,,,,,
Capital One Checking,8/31/2020,PAYMENT - Thank You,AMEX Blue Cash,$251.45 ,,,,,
Capital One Checking,8/31/2020,PAYMENT - Thank You,Capital One Savor,$108.72 ,,,,,
Capital One Checking,8/31/2020,PAYMENT - Thank You,Citi Double Cash Back,$678.66 ,,,,,
Checking Interest,8/31/2020,Monthly Interest Paid,Capital One Checking,$0.47 ,,,,,
Savings Interest,8/31/2020,Monthly Interest Paid,Capital One Savings,$23.41 ,,,,,
TD Bank,8/31/2020,Paid Tax Return,Personal,$114.00 ,,,,,
Checking Interest,8/31/2020,DIVIDEND / Dividend,Tower FCU Checking,$0.02 ,,,,,
